Time,Pooled reads (25),Skew (25) ,Pooled reads (50),Skew (50) ,Pooled reads (100),Skew (100) ,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (25),I (25),R (25),S (50),I (50),R (50),S (100),I (100),R (100),pool Ct (25),pool Ct (50),pool Ct (100),Sim no
20.0,6328.0,4.5677,551.0,6.9062,402.0,7.3143,0.0174,0.0628,9207,628,165,20,1,4,43,3,4,93,0,7,24.372466115527207,27.894091491428842,28.348948308821072,1
20.0,0.0,0.0,2763.0,7.0711,1497.0,9.9665,0.0174,0.0628,9207,628,165,25,0,0,48,2,0,92,0,8,Infinity,25.567980153187506,26.452141493941582,2
20.0,42.0,4.9803,178.0,7.0711,468.0,9.9116,0.0174,0.0628,9207,628,165,22,1,2,47,0,3,94,0,6,31.60768257722124,29.524266569033603,28.129635280416593,3
20.0,3618.0,4.9853,211671.0,7.0711,7824.0,9.9856,0.0174,0.0628,9207,628,165,21,2,2,47,3,0,93,0,7,25.179023307378756,19.308535899212842,24.066309345047763,4
20.0,0.0,0.0,0.0,0.0,978.0,9.97,0.0174,0.0628,9207,628,165,25,0,0,50,0,0,92,5,3,Infinity,Infinity,27.066309345047763,5
20.0,0.0,0.0,32.0,7.0711,2346.0,7.0836,0.0174,0.0628,9207,628,165,25,0,0,47,3,0,93,5,2,Infinity,32.0,25.80401270197149,6
20.0,979.0,4.9698,5530.0,7.0711,686.0,9.2417,0.0174,0.0628,9207,628,165,21,0,4,44,2,4,92,0,8,27.064834950396303,24.56693623487793,27.577935233827187,7
20.0,144.0,5.0,0.0,0.0,31.0,9.8528,0.0174,0.0628,9207,628,165,22,0,3,49,0,1,90,7,3,29.830074998557688,Infinity,32.04580368961312,8
20.0,0.0,0.0,193.0,6.4403,250.0,9.3726,0.0174,0.0628,9207,628,165,25,0,0,44,4,2,93,5,2,Infinity,29.40754296273192,29.034215715337915,9
20.0,6.0,5.0,1806.0,7.0711,0.0,0.0,0.0174,0.0628,9207,628,165,23,1,1,49,0,1,96,0,4,34.415037499278846,26.18141782251914,Infinity,10
20.0,367.0,3.8254,13264.0,6.8366,5160.0,6.0524,0.0174,0.0628,9207,628,165,22,1,2,41,4,5,93,6,1,28.480363747156787,23.304771708504248,24.66684464968938,11
20.0,44937.0,4.8948,265.0,5.5413,9263.0,7.9542,0.0174,0.0628,9207,628,165,22,2,1,45,2,3,90,8,2,21.544383807227597,28.950151450549438,23.82273620174653,12
20.0,16.0,4.9653,5648.0,4.8555,13658.0,8.6294,0.0174,0.0628,9207,628,165,23,1,1,41,5,4,93,7,0,33.0,24.53647562672882,23.262541381429543,13
20.0,0.0,0.0,386.0,7.0359,40.0,9.1427,0.0174,0.0628,9207,628,165,24,1,0,48,0,2,94,0,6,Infinity,28.407542962731917,31.67807190511264,14
20.0,4047.0,4.9999,309.0,4.8373,51960.0,10.0,0.0174,0.0628,9207,628,165,23,0,2,45,4,1,93,0,7,25.017362866330576,28.728536972095625,21.334886189664758,15
20.0,257.0,5.0,802.0,7.0579,8500.0,9.9982,0.0174,0.0628,9207,628,165,24,0,1,45,5,0,93,6,1,28.99437545080612,27.35254157354508,23.946752874087572,16
20.0,203.0,5.0,0.0,0.0,12.0,9.882,0.0174,0.0628,9207,628,165,24,1,0,45,5,0,95,0,5,29.334664082814825,Infinity,33.415037499278846,17
20.0,116308.0,5.0,398.0,7.0711,112405.0,10.0,0.0174,0.0628,9207,628,165,21,0,4,47,0,3,89,4,7,20.172409192609432,28.36337537945635,20.221653314606066,18
20.0,58.0,5.0,8783.0,6.8118,162219.0,9.9584,0.0174,0.0628,9207,628,165,24,1,0,44,1,5,91,7,2,31.142019004872427,23.899501911583116,19.692416719568808,19
20.0,0.0,0.0,28144.0,7.0697,268.0,9.9889,0.0174,0.0628,9207,628,165,24,0,1,44,0,6,93,7,0,Infinity,22.21946023252804,28.933910809542226,20
20.0,0.0,0.0,334.0,5.7763,19393.0,9.8961,0.0174,0.0628,9207,628,165,25,0,0,45,4,1,87,8,5,Infinity,28.616295707525946,22.756751622042522,21
20.0,4.0,5.0,14349.0,7.0705,105.0,5.7673,0.0174,0.0628,9207,628,165,23,1,1,45,5,0,92,0,8,35.0,23.191337423292538,30.28575448233388,22
20.0,430.0,5.0,42.0,7.0711,3873.0,8.2937,0.0174,0.0628,9207,628,165,22,2,1,49,0,1,89,11,0,28.251807150410542,31.60768257722124,25.080764213971655,23
20.0,21.0,5.0,1598.0,7.0705,26.0,9.5035,0.0174,0.0628,9207,628,165,24,0,1,48,0,2,95,0,5,32.60768257722124,26.35794830707202,32.29956028185891,24
20.0,3068.0,4.9999,214.0,7.0711,28714.0,7.6482,0.0174,0.0628,9207,628,165,22,0,3,45,4,1,88,4,8,25.416917232497063,29.258533013598854,22.190533301462544,25
20.0,99.0,5.0,35623.0,7.0701,63987.0,8.6161,0.0174,0.0628,9207,628,165,24,0,1,46,2,2,93,0,7,30.37064337992039,21.879478601965197,21.03450879253475,26
20.0,5.0,5.0,11764.0,7.071,153.0,7.524,0.0174,0.0628,9207,628,165,23,0,2,47,1,2,91,6,3,34.67807190511264,23.477908931112935,29.74261215730735,27
20.0,101.0,4.9271,115.0,7.0375,20043.0,9.6383,0.0174,0.0628,9207,628,165,22,3,0,47,2,1,91,6,3,30.341788517248204,30.154509949055623,22.7091891557699,28
20.0,10479.0,5.0,683.0,6.9494,83466.0,7.9387,0.0174,0.0628,9207,628,165,23,1,1,46,2,2,91,8,1,23.644786571883976,27.58425823170991,20.65109898718316,29
20.0,0.0,0.0,298338.0,7.0647,8537.0,9.9998,0.0174,0.0628,9207,628,165,24,1,0,42,3,5,92,3,5,Infinity,18.813411776787223,23.940486536066274,30
20.0,1314.0,4.8744,0.0,0.0,13725.0,9.9922,0.0174,0.0628,9207,628,165,22,2,1,49,0,1,91,9,0,26.640250439677672,Infinity,23.255481471220076,31
20.0,3.0,5.0,0.0,0.0,2140.0,9.8824,0.0174,0.0628,9207,628,165,23,1,1,45,4,1,94,0,6,35.415037499278846,Infinity,25.936604918711488,32
20.0,2.0,5.0,21976.0,5.3004,392.0,10.0,0.0174,0.0628,9207,628,165,24,1,0,46,2,2,96,0,4,36.0,22.576358804924144,28.385290155884793,33
20.0,598.0,3.7451,13.0,7.0711,3809.0,8.4885,0.0174,0.0628,9207,628,165,23,2,0,44,4,2,88,8,4,27.775998325801893,33.29956028185891,25.104803427436657,34
20.0,0.0,0.0,272.0,7.0711,2.0,6.962,0.0174,0.0628,9207,628,165,25,0,0,46,4,0,96,0,4,Infinity,28.912537158749657,36.0,35
20.0,61.0,5.0,6.0,5.5963,109494.0,9.4165,0.0174,0.0628,9207,628,165,23,2,0,46,1,3,89,6,5,31.06926266243711,34.415037499278846,20.259507709685682,36
20.0,8.0,5.0,80.0,6.3372,15151.0,9.9987,0.0174,0.0628,9207,628,165,23,1,1,44,2,4,94,5,1,34.0,30.67807190511264,23.112874602499566,37
20.0,538.0,5.0,1139.0,7.0239,1092.0,9.856,0.0174,0.0628,9207,628,165,24,1,0,43,5,2,95,5,0,27.928537637443377,26.84644796829189,26.90724285908015,38
20.0,30.0,5.0,1941.0,6.6756,14297.0,9.9995,0.0174,0.0628,9207,628,165,22,2,1,41,2,7,93,0,7,32.093109404391484,26.077415597286336,23.196575168494515,39
20.0,7.0,5.0,65194.0,6.9989,9442.0,9.7894,0.0174,0.0628,9207,628,165,24,1,0,44,2,4,91,8,1,34.192645077942394,21.007548425450636,23.79512323239601,40
20.0,51.0,3.4858,5.0,7.0711,14696.0,9.9986,0.0174,0.0628,9207,628,165,22,1,2,44,3,3,95,4,1,31.327574658028503,34.67807190511264,23.15686408888865,41
20.0,2556.0,5.0,120.0,4.7777,125850.0,9.5786,0.0174,0.0628,9207,628,165,21,1,3,44,5,1,87,4,9,25.680327879053003,30.09310940439148,20.058654309064295,42
20.0,2825.0,5.0,212.0,4.813,132.0,9.2356,0.0174,0.0628,9207,628,165,24,0,1,46,3,1,88,8,4,25.535964847810085,29.2720795454368,29.955605880641546,43
20.0,0.0,0.0,78.0,7.0711,5778.0,8.5688,0.0174,0.0628,9207,628,165,23,1,1,46,3,1,90,8,2,Infinity,30.71459778113775,24.503645511435383,44
20.0,506181.0,3.3429,988.0,7.0711,6872.0,9.9996,0.0174,0.0628,9207,628,165,22,1,2,48,2,0,97,0,3,18.050706170070782,27.051632768415324,24.253485678861537,45
20.0,18957.0,4.9989,922.0,4.8189,79.0,9.9464,0.0174,0.0628,9207,628,165,23,0,2,46,3,1,93,7,0,22.789556948807764,27.151377059570663,30.696219251822896,46
20.0,0.0,0.0,20.0,7.0711,18112.0,5.9494,0.0174,0.0628,9207,628,165,23,2,0,48,0,2,90,0,10,Infinity,32.67807190511264,22.855341757168116,47
20.0,11372.0,4.8298,7065.0,7.0698,6129.0,9.5688,0.0174,0.0628,9207,628,165,22,0,3,40,4,6,89,10,1,23.526801616322473,24.213526154778698,24.418564010545616,48
20.0,13099.0,4.9999,46.0,6.9777,14015.0,9.9483,0.0174,0.0628,9207,628,165,23,0,2,46,3,1,92,5,3,23.322830942283886,31.476438043942988,23.225315876080145,49
20.0,0.0,0.0,53.0,4.5606,1267.0,9.8541,0.0174,0.0628,9207,628,165,24,1,0,44,6,0,91,4,5,Infinity,31.2720795454368,26.69279919085919,50
20.0,5.0,5.0,96418.0,7.0711,2647.0,9.4488,0.0174,0.0628,9207,628,165,22,1,2,44,1,5,90,4,6,34.67807190511264,20.442985116250586,25.6298575205046,51
20.0,15.0,5.0,586.0,5.2039,2991.0,9.3192,0.0174,0.0628,9207,628,165,23,2,0,46,0,4,92,8,0,33.093109404391484,27.805243145577755,25.453587804880648,52
20.0,1983.0,4.9958,57.0,7.0711,1565.0,9.962,0.0174,0.0628,9207,628,165,21,0,4,47,3,0,92,5,3,26.046531037771153,31.167109985835257,26.38805305818002,53
20.0,0.0,0.0,356.0,7.0679,280.0,9.9825,0.0174,0.0628,9207,628,165,25,0,0,46,1,3,96,0,4,Infinity,28.5242665690336,28.870716983055033,54
